./logs/33789149_command_29996.log:command id: command_29996, hostname: nid001844, cpu (hw thread id): 37
./logs/33789149_command_29997.log:command id: command_29997, hostname: nid001844, cpu (hw thread id): 39
./logs/33789149_command_29988.log:command id: command_29988, hostname: nid001844, cpu (hw thread id): 40
./logs/33789149_command_29998.log:command id: command_29998, hostname: nid001844, cpu (hw thread id): 46
./logs/33789149_command_29999.log:command id: command_29999, hostname: nid001844, cpu (hw thread id): 47
./logs/33789149_command_29989.log:command id: command_29989, hostname: nid001844, cpu (hw thread id): 44
./logs/33789149_command_29992.log:command id: command_29992, hostname: nid001844, cpu (hw thread id): 43
./logs/33789149_command_29980.log:command id: command_29980, hostname: nid001844, cpu (hw thread id): 30
./logs/33789149_command_29993.log:command id: command_29993, hostname: nid001844, cpu (hw thread id): 41
./logs/33789149_command_29990.log:command id: command_29990, hostname: nid001844, cpu (hw thread id): 45
./logs/33789149_command_29981.log:command id: command_29981, hostname: nid001844, cpu (hw thread id): 29
./logs/33789149_command_29991.log:command id: command_29991, hostname: nid001844, cpu (hw thread id): 38
./logs/33789149_command_29972.log:command id: command_29972, hostname: nid001844, cpu (hw thread id): 22
./logs/33789149_command_29984.log:command id: command_29984, hostname: nid001844, cpu (hw thread id): 32
./logs/33789149_command_29985.log:command id: command_29985, hostname: nid001844, cpu (hw thread id): 33
./logs/33789149_command_29982.log:command id: command_29982, hostname: nid001844, cpu (hw thread id): 28
./logs/33789149_command_29973.log:command id: command_29973, hostname: nid001844, cpu (hw thread id): 20
./logs/33789149_command_29983.log:command id: command_29983, hostname: nid001844, cpu (hw thread id): 31
./logs/33789149_command_29964.log:command id: command_29964, hostname: nid001844, cpu (hw thread id): 12
./logs/33789149_command_29977.log:command id: command_29977, hostname: nid001844, cpu (hw thread id): 24
./logs/33789149_command_29974.log:command id: command_29974, hostname: nid001844, cpu (hw thread id): 21
./logs/33789149_command_29965.log:command id: command_29965, hostname: nid001844, cpu (hw thread id): 16
./logs/33789149_command_29975.log:command id: command_29975, hostname: nid001844, cpu (hw thread id): 23
./logs/33789149_command_29969.log:command id: command_29969, hostname: nid001844, cpu (hw thread id): 15
./logs/33789149_command_29967.log:command id: command_29967, hostname: nid001844, cpu (hw thread id): 13
./logs/33789149_command_29957.log:command id: command_29957, hostname: nid001844, cpu (hw thread id): 4
./logs/33789148_command_29949.log:command id: command_29949, hostname: nid001833, cpu (hw thread id): 107
./logs/33789149_command_29966.log:command id: command_29966, hostname: nid001844, cpu (hw thread id): 10
./logs/33789148_command_29941.log:command id: command_29941, hostname: nid001833, cpu (hw thread id): 111
./logs/33789149_command_29994.log:command id: command_29994, hostname: nid001844, cpu (hw thread id): 42
./logs/33789149_command_29959.log:command id: command_29959, hostname: nid001844, cpu (hw thread id): 7
./logs/33789148_command_29951.log:command id: command_29951, hostname: nid001833, cpu (hw thread id): 114
./logs/33789149_command_29995.log:command id: command_29995, hostname: nid001844, cpu (hw thread id): 36
./logs/33789148_command_29943.log:command id: command_29943, hostname: nid001833, cpu (hw thread id): 117
./logs/33789148_command_29935.log:command id: command_29935, hostname: nid001833, cpu (hw thread id): 101
./logs/33789148_command_29927.log:command id: command_29927, hostname: nid001833, cpu (hw thread id): 96
./logs/33789149_command_29958.log:command id: command_29958, hostname: nid001844, cpu (hw thread id): 6
./logs/33789148_command_29950.log:command id: command_29950, hostname: nid001833, cpu (hw thread id): 108
./logs/33789148_command_29942.log:command id: command_29942, hostname: nid001833, cpu (hw thread id): 106
./logs/33789149_command_29961.log:command id: command_29961, hostname: nid001844, cpu (hw thread id): 9
./logs/33789148_command_29934.log:command id: command_29934, hostname: nid001833, cpu (hw thread id): 116
./logs/33789149_command_29953.log:command id: command_29953, hostname: nid001844, cpu (hw thread id): 1
./logs/33789148_command_29945.log:command id: command_29945, hostname: nid001833, cpu (hw thread id): 103
./logs/33789149_command_29987.log:command id: command_29987, hostname: nid001844, cpu (hw thread id): 34
./logs/33789148_command_29919.log:command id: command_29919, hostname: nid001833, cpu (hw thread id): 92
./logs/33789148_command_29911.log:command id: command_29911, hostname: nid001833, cpu (hw thread id): 87
./logs/33789148_command_29933.log:command id: command_29933, hostname: nid001833, cpu (hw thread id): 120
./logs/33789148_command_29903.log:command id: command_29903, hostname: nid001833, cpu (hw thread id): 78
./logs/33789149_command_29986.log:command id: command_29986, hostname: nid001844, cpu (hw thread id): 35
./logs/33789148_command_29937.log:command id: command_29937, hostname: nid001833, cpu (hw thread id): 125
./logs/33789148_command_29929.log:command id: command_29929, hostname: nid001833, cpu (hw thread id): 109
./logs/33789148_command_29925.log:command id: command_29925, hostname: nid001833, cpu (hw thread id): 97
./logs/33789148_command_29917.log:command id: command_29917, hostname: nid001833, cpu (hw thread id): 90
./logs/33789148_command_29909.log:command id: command_29909, hostname: nid001833, cpu (hw thread id): 82
